source_account,grid_rank,permalink,shortcode,permalink_type,selection_status,selection_notes
garudaspark,1,https://www.instagram.com/p/DWRRnsCj44i/,DWRRnsCj44i,POST,admitted_to_corpus,"Pinned post; partnership call; expected zero event candidates"
garudaspark,2,https://www.instagram.com/p/DWRRgs1D1SF/,DWRRgs1D1SF,POST,admitted_to_corpus,"Pinned post; organization introduction; expected zero event candidates"
garudaspark,3,https://www.instagram.com/p/DWRRVtfDzr5/,DWRRVtfDzr5,POST,admitted_to_corpus,"Pinned post; organization origin story; expected zero event candidates"
garudaspark,4,https://www.instagram.com/p/DcT9GDTC_li/,DcT9GDTC_li,POST,admitted_to_corpus,"Bandung event; negative Jabodetabek relevance case"
garudaspark,5,https://www.instagram.com/p/DcTP8qOmVsk/,DcTP8qOmVsk,POST,admitted_to_corpus,"Bali Tech Week pre-event recap; expected zero upcoming candidates"
garudaspark,6,https://www.instagram.com/p/DcTMGgnJGcf/,DcTMGgnJGcf,POST,admitted_to_corpus,"Positive Jakarta event case"
garudaspark,7,https://www.instagram.com/p/DcTAiO4CURF/,DcTAiO4CURF,POST,admitted_to_corpus,"Bandung event; negative Jabodetabek relevance case"
garudaspark,8,https://www.instagram.com/p/DcSpCfAPWnv/,DcSpCfAPWnv,POST,admitted_to_corpus,"Positive Jakarta event with missing date in caption; slide review required"
garudaspark,9,https://www.instagram.com/p/DcQuo9zHRhm/,DcQuo9zHRhm,POST,admitted_to_corpus,"Surabaya event; negative Jabodetabek relevance case"
garudaspark,10,https://www.instagram.com/p/DcQnPe4CfpJ/,DcQnPe4CfpJ,POST,admitted_to_corpus,"Bandung event; negative Jabodetabek relevance case"
indonesiadesignresearch,1,https://www.instagram.com/p/DcQsgYapEVU/,DcQsgYapEVU,POST,admitted_to_corpus,"Grid order includes pinned posts; positive BSD event"
indonesiadesignresearch,2,https://www.instagram.com/p/DcGfVkjiV-V/,DcGfVkjiV-V,POST,admitted_to_corpus,"Grid order includes pinned posts; positive online event"
indonesiadesignresearch,3,https://www.instagram.com/p/Da4Wsy2CRpn/,Da4Wsy2CRpn,POST,admitted_to_corpus,"Grid order includes pinned posts; recap negative"
