event_series_group,event_series_name,canonical_event_group,post_id,relationship,label_status,notes
GDG-EXTENDED-SERIES-2026,Extended Series Jakarta 2026,,GDG-011,SERIES_TEASER,caption_only,"No event candidate: dates and registration are intentionally absent"
GDG-EXTENDED-SERIES-2026,Extended Series Jakarta 2026,,GDG-012,SERIES_REGISTRATION_OVERVIEW,needs_review,"Overview compresses the two August 1 tracks"
GDG-EXTENDED-SERIES-2026,Extended Series Jakarta 2026,,GDG-013,SERIES_SCHEDULE,caption_only,"Known multi-event source"
GDG-EXTENDED-SERIES-2026,Extended Series Jakarta 2026,GDG-EXTENDED-SERIES-2026-07-22,,CONTAINS_EVENT,caption_only,
GDG-EXTENDED-SERIES-2026,Extended Series Jakarta 2026,GDG-EXTENDED-SERIES-2026-07-24,,CONTAINS_EVENT,caption_only,
GDG-EXTENDED-SERIES-2026,Extended Series Jakarta 2026,GDG-CLOUD-NEXT-KDD-2026-08-01,,CONTAINS_EVENT,caption_only,
GDG-EXTENDED-SERIES-2026,Extended Series Jakarta 2026,GDG-IO-EXTENDED-JAKARTA-2026-08-01,,CONTAINS_EVENT,caption_only,
IPC-2026,Indonesia Product Conference 2026,,IDR-001,SERIES_PRE_EVENT,caption_only,"Road to IPC meetup is independently registerable"
IPC-2026,Indonesia Product Conference 2026,,IDR-008,SERIES_MAIN_EVENT_PROMO,caption_only,"Primary Instagram author is idproductcon"
IPC-2026,Indonesia Product Conference 2026,IDR-IPC-PREEVENT-2026-09-05,,CONTAINS_EVENT,caption_only,
IPC-2026,Indonesia Product Conference 2026,IDR-IPC-MAIN-2026-09-24,,CONTAINS_EVENT,caption_only,
